State,TotalC10-11,TotalC11-12,TotalC12-13,TotalC13-14,TotalP10-11,TotalP11-12,TotalP12-13,TotalP13-14,TotalE10-11,TotalE11-12,TotalE12-13,TotalE13-14,TotalPrice10-11,TotalPrice11-12,TotalPrice12-13,TotalPrice13-14
District of Columbia,-3.5286,-5.8992,1.5015,1.919,85.26,2.214,16.6065,11.4551,-1.7818,-9.572,0.4914,4.0913,3.4938,-4.3511,-3.4118,1.3398
Idaho,0.1662,-1.1817,3.0818,-1.2681,35.26,-4.1038,-4.8014,11.6262,16.503,1.4998,4.0176,-0.1459,14.6441,2.7481,0.0495,1.1386
Oregon,2.811,-2.7364,1.7254,-0.4761,30.43,-3.3768,-3.1503,4.5956,17.3654,0.4697,-0.7463,-0.1095,16.5104,1.8328,-2.5461,0.4054
Pennsylvania,-0.7267,-2.7119,5.6005,1.9722,26.30,22.2097,24.1718,20.6623,12.94,-2.1833,0.5186,2.1024,15.5015,0.7456,-5.6596,-1.0614
Louisiana,0.0709,-3.0465,-1.3757,1.9735,25.30,-3.4175,-6.91,-11.0857,18.6487,-9.8923,0.7382,1.7066,19.2563,-9.9198,1.3583,-1.1487
Washington,1.3883,-1.0926,-0.0402,-1.1967,21.28,0.7094,-3.927,2.3994,19.0201,1.9966,-3.747,-2.9812,17.5123,1.1606,-1.285,-1.8596
North Dakota,11.0143,4.5066,7.6247,7.6805,21.11,40.6181,23.3718,23.8094,42.2654,9.4833,9.2058,5.9481,25.7433,5.5363,1.0383,0.1082
Hawaii,3.261,-2.4179,0.4133,-0.0437,13.13,11.4648,24.3105,6.6798,30.9797,2.239,-2.4871,-3.4884,25.9941,4.6948,-3.8366,-3.1606
Arkansas,0.1706,-4.8909,2.6972,1.639,11.50,5.8646,-2.7638,1.5538,15.5623,-2.9854,2.5197,-1.5402,16.3905,1.576,-2.2022,-3.4289
Delaware,8.9348,0.4256,-0.0044,0.1085,11.22,-3.6038,8.1586,9.7171,11.2608,1.3216,-4.5491,-0.21,7.7447,-1.9352,-2.2151,-2.1005
South Dakota,-0.0116,-0.6658,3.6359,0.5744,10.20,0.099,-3.4574,5.5391,18.5464,4.1271,-0.3092,1.0081,18.7101,3.0348,-3.4204,-0.0492
Texas,1.8715,0.2093,6.1168,1.8839,10.16,12.8031,10.6335,12.1626,20.9219,-6.8918,4.0811,2.7443,18.3756,-7.056,-0.1047,-0.1572
Maryland,-3.7208,-2.937,1.9992,0.3333,8.80,-4.8038,1.3691,0.6051,7.7621,-2.5661,1.7187,0.413,11.7389,0.9408,-1.0874,-0.8638
Michigan,1.1504,-3.4929,5.3759,1.7344,8.65,-4.6175,4.5775,4.2795,13.8655,-1.0729,4.2505,0.2922,12.8316,2.975,-4.5666,-2.2949
Indiana,-0.566,-2.7055,4.4982,1.2735,7.57,-1.5348,5.7769,1.5055,18.2264,-0.4575,3.3401,2.2059,19.006,1.9752,-1.1621,0.4479
Colorado,-2.8477,-2.0173,2.0866,0.4306,7.36,6.2284,-2.8477,7.168,14.0995,0.1344,1.944,1.6456,22.2989,2.4906,-3.072,0.5203
Arizona,2.9933,-2.0425,1.3285,0.5803,6.37,-3.223,-0.5092,6.7322,16.8066,1.0774,-0.1368,-1.0135,15.1461,3.0835,-1.3631,-0.4223
Utah,5.0325,-0.4917,5.2539,-4.0489,5.20,-0.9055,0.3816,4.2581,25.0224,1.132,4.3716,-2.8279,18.6501,4.5908,-2.0992,0.9259
New York,-3.0249,-2.9847,3.5064,3.2194,5.10,-3.5094,6.6746,-0.0894,7.0001,-1.2912,1.1868,2.7563,10.0909,0.2754,-2.5108,-1.1268
Oklahoma,0.3356,-1.4698,3.7726,3.6413,4.98,9.1049,6.3351,13.8771,15.8235,0.0708,-1.0101,4.677,16.0256,2.1597,-2.3107,0.5033
Illinois,-0.4418,-2.9731,4.4638,1.2835,4.71,11.2943,3.4182,6.5009,12.2469,-5.8855,2.5871,4.9424,12.3059,-0.9217,-4.186,2.589
California,0.2124,-2.7395,1.3376,-0.5891,4.05,-3.4783,2.3796,0.9651,15.3794,0.6176,0.823,0.4882,16.1183,2.5462,-0.4806,1.8511
Nevada,-2.0057,1.0329,3.1881,0.1043,3.78,11.978,16.5239,1.3275,5.9266,3.2518,1.2914,2.6299,10.509,1.4925,-3.8655,2.7972
New Jersey,0.6722,-7.0739,3.1446,1.233,3.74,0.7037,2.424,-3.6801,15.0979,-8.2121,0.5239,-0.8383,13.6278,1.0339,-2.7835,-4.0842
